userid,interface,commandsetid,parentisdiff,time,errors,commandid,parenterrors
byHe-fT2m,R,1,f,1044,0,4,0
byHe-fT2m,R,1,t,2276,0,55,0
byHe-fT2m,R,1,f,1422,0,54,0
byHe-fT2m,R,1,f,1012,0,55,0
byHe-fT2m,R,1,t,3960,0,4,0
byHe-fT2m,R,1,t,3188,0,23,0
byHe-fT2m,R,1,f,1337,0,15,0
byHe-fT2m,R,1,t,2268,0,54,0
byHe-fT2m,R,1,t,3998,0,23,1
byHe-fT2m,R,1,t,2348,0,55,0
byHe-fT2m,R,1,t,2745,0,11,0
byHe-fT2m,R,1,t,3243,0,23,0
byHe-fT2m,R,1,t,2718,0,4,0
byHe-fT2m,R,1,t,2503,0,54,0
byHe-fT2m,R,1,f,1124,0,54,0
byHe-fT2m,R,1,t,4220,0,15,1
byHe-fT2m,R,1,t,2719,0,55,0
byHe-fT2m,R,1,f,1616,0,54,0
byHe-fT2m,R,1,f,1078,0,55,0
byHe-fT2m,R,1,t,2421,0,4,0
byHe-fT2m,R,1,t,2106,0,54,0
byHe-fT2m,R,1,t,2149,0,11,0
byHe-fT2m,R,1,f,1196,0,4,0
byHe-fT2m,R,1,t,1882,0,55,0
byHe-fT2m,R,1,t,2105,0,11,0
byHe-fT2m,R,1,t,1806,0,54,0
byHe-fT2m,R,1,t,2228,0,4,0
byHe-fT2m,R,1,t,1848,0,54,0
byHe-fT2m,R,1,f,1126,0,54,0
byHe-fT2m,R,1,t,2222,0,15,0
byHe-fT2m,R,1,t,2551,0,55,1
byHe-fT2m,R,1,f,1148,0,54,0
byHe-fT2m,R,1,t,2804,0,15,0
byHe-fT2m,R,1,t,2450,0,11,0
Zk0-PGanQ,C,1,f,2621,0,54,0
WyZCFb62m,R,0,f,1820,0,55,0
Zk0-PGanQ,C,1,t,1171,0,11,0
byHe-fT2m,R,1,t,2748,0,23,0
WyZCFb62m,R,0,t,1722,0,16,0
Zk0-PGanQ,C,1,t,1188,0,54,0
Zk0-PGanQ,C,1,f,1113,0,54,0
WyZCFb62m,R,0,t,1537,0,0,0
byHe-fT2m,R,1,t,2868,0,4,0
Zk0-PGanQ,C,1,f,1219,0,55,0
WyZCFb62m,R,0,f,1330,0,2,0
Zk0-PGanQ,C,1,t,1658,0,15,0
byHe-fT2m,R,1,t,2690,0,54,1
WyZCFb62m,R,0,t,1994,0,16,0
Zk0-PGanQ,C,1,f,1703,0,15,0
WyZCFb62m,R,0,t,1462,0,0,0
byHe-fT2m,R,1,t,2241,0,11,0
Zk0-PGanQ,C,1,t,1283,0,11,0
Zk0-PGanQ,C,1,t,1354,0,23,0
WyZCFb62m,R,0,t,1718,0,55,0
byHe-fT2m,R,1,t,2232,0,55,0
Zk0-PGanQ,C,1,f,1295,0,23,0
WyZCFb62m,R,0,t,1829,0,16,0
Zk0-PGanQ,C,1,t,1187,0,4,0
byHe-fT2m,R,1,t,2749,0,23,1
Zk0-PGanQ,C,1,t,1435,0,23,0
WyZCFb62m,R,0,t,2094,0,50,0
byHe-fT2m,R,1,t,2092,0,11,0
Zk0-PGanQ,C,1,t,1603,0,4,0
WyZCFb62m,R,0,t,2287,0,19,0
byHe-fT2m,R,1,f,977,0,11,0
byHe-fT2m,R,1,f,1068,0,11,0
WyZCFb62m,R,0,t,1460,0,0,0
Zk0-PGanQ,C,1,t,3101,0,55,0
Zk0-PGanQ,C,1,f,1018,0,54,0
WyZCFb62m,R,0,t,2058,0,55,0
byHe-fT2m,R,1,t,2482,0,15,0
Zk0-PGanQ,C,1,t,1265,0,23,0
WyZCFb62m,R,0,f,1593,0,55,0
Zk0-PGanQ,C,1,t,1267,0,4,0
Zk0-PGanQ,C,1,f,1025,0,4,0
byHe-fT2m,R,1,f,3930,0,23,1
WyZCFb62m,R,0,t,1708,0,2,0
Zk0-PGanQ,C,1,t,1094,0,54,0
byHe-fT2m,R,1,f,1300,0,15,0
Zk0-PGanQ,C,1,f,1474,0,55,0
WyZCFb62m,R,0,t,2468,0,19,0
Zk0-PGanQ,C,1,t,1363,0,4,0
byHe-fT2m,R,1,t,1948,0,54,0
Zk0-PGanQ,C,1,t,1210,0,55,0
WyZCFb62m,R,0,f,1601,0,19,0
Zk0-PGanQ,C,1,t,1154,0,11,0
byHe-fT2m,R,1,t,2728,0,11,0
WyZCFb62m,R,0,f,1028,0,19,0
Zk0-PGanQ,C,1,t,1170,0,54,0
byHe-fT2m,R,1,f,1090,0,11,0
WyZCFb62m,R,0,t,1835,0,50,0
Zk0-PGanQ,C,1,t,1210,0,11,0
WyZCFb62m,R,0,f,1062,0,55,0
Zk0-PGanQ,C,1,t,1379,0,23,0
byHe-fT2m,R,1,t,2694,1,23,0
Zk0-PGanQ,C,1,f,1178,0,23,0
Zk0-PGanQ,C,1,f,1248,0,15,0
WyZCFb62m,R,0,t,3023,0,19,0
byHe-fT2m,R,1,t,3171,0,11,0
Zk0-PGanQ,C,1,f,1226,0,23,0
WyZCFb62m,R,0,f,1603,0,16,0
Zk0-PGanQ,C,1,t,982,0,54,0
byHe-fT2m,R,1,t,2826,0,23,0
Zk0-PGanQ,C,1,t,1297,0,4,0
